configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,12306466,1.51, 0.10, 0:00.37, 431, 500 , 1760.29 , 4922.59
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,7681013,8.07, 0.09, 0:01.83, 445, 500 , 281.95 , 3072.41
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,9215319,8.46, 0.15, 0:01.74, 494, 500 , 296.34 , 3686.13
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,9201571,10.54, 0.11, 0:01.90, 559, 500 , 270.57 , 3680.63
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,6370664,16.29, 0.17, 0:02.31, 710, 500 , 221.01 , 2548.27
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,6519643,9.82, 0.10, 0:01.46, 675, 500 , 354.29 , 2607.86
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9483966,8.00, 0.09, 0:01.26, 638, 500 , 413.39 , 3793.59
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9027049,8.69, 0.13, 0:01.36, 647, 500 , 382.62 , 3610.82
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,7344809,5.89, 0.08, 0:01.29, 462, 500 , 405.39 , 2937.92
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,6885096,7.31, 0.10, 0:01.38, 535, 500 , 377.80 , 2754.04
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,8864348,8.02, 0.13, 0:01.43, 568, 500 , 363.05 , 3545.74
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7828780,1.97, 0.08, 0:00.45, 448, 500 , 1246.48 , 3131.51
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,6673406,17.13, 0.16, 0:02.40, 718, 500 , 213.76 , 2669.36
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,8158210,10.92, 0.10, 0:01.75, 627, 500 , 294.16 , 3263.28
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,8127455,16.16, 0.14, 0:02.37, 687, 500 , 216.25 , 3250.98
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,7483705,8.69, 0.09, 0:01.55, 567, 500 , 334.95 , 2993.48
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,10114596,14.32, 0.11, 0:02.10, 685, 500 , 244.26 , 4045.84
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,8181126,20.64, 0.16, 0:02.92, 712, 500 , 174.70 , 3272.45
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,8163157,14.09, 0.12, 0:02.15, 659, 500 , 238.49 , 3265.26
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,8548713,11.95, 0.11, 0:01.85, 652, 500 , 279.26 , 3419.49
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,6887257,11.05, 0.14, 0:02.69, 415, 500 , 189.72 , 2754.90
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,6844539,10.29, 0.11, 0:02.42, 429, 500 , 211.80 , 2737.82
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7828780,2.20, 0.12, 0:00.48, 485, 500 , 1182.13 , 3131.51
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,9012931,11.48, 0.13, 0:02.62, 443, 500 , 195.27 , 3605.17
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,6891434,10.49, 0.13, 0:02.53, 418, 500 , 201.86 , 2756.57
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,7134726,18.92, 0.15, 0:03.45, 552, 500 , 147.68 , 2853.89
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,5732709,10.36, 0.12, 0:02.29, 457, 500 , 225.57 , 2293.08
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,5800438,10.13, 0.11, 0:02.24, 455, 500 , 229.40 , 2320.18
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,5758632,10.40, 0.09, 0:02.28, 459, 500 , 225.75 , 2303.45
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,7575205,8.73, 0.17, 0:01.50, 589, 500 , 347.41 , 3030.08
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,7617924,8.86, 0.12, 0:01.54, 581, 500 , 340.55 , 3047.17
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,7444596,10.31, 0.12, 0:01.71, 607, 500 , 305.35 , 2977.84
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,6002271,6.58, 0.15, 0:01.16, 578, 500 , 460.10 , 2400.91
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,12273842,1.56, 0.08, 0:00.36, 452, 500 , 1748.80 , 4909.54
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,6236328,8.37, 0.15, 0:01.35, 631, 500 , 391.83 , 2494.53
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,6222441,9.75, 0.14, 0:01.55, 637, 500 , 339.24 , 2488.98
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,6182870,8.13, 0.16, 0:01.33, 619, 500 , 396.02 , 2473.15
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,8163157,12.65, 0.11, 0:02.01, 635, 500 , 258.94 , 3265.26
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,7489610,14.37, 0.13, 0:02.32, 625, 500 , 222.74 , 2995.84
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,10733151,12.01, 0.17, 0:01.96, 620, 500 , 265.12 , 4293.26
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,7415493,8.92, 0.15, 0:01.50, 602, 500 , 349.14 , 2966.20
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,8095809,133.67, 0.24, 0:17.59, 761, 500 , 28.55 , 3238.32
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,8796931,184.48, 0.21, 0:24.13, 765, 500 , 20.79 , 3518.77
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,9582408,90.64, 0.17, 0:11.99, 756, 500 , 41.95 , 3832.96
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,12306466,1.53, 0.10, 0:00.37, 438, 500 , 1689.67 , 4922.59
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,10152803,37.58, 0.22, 0:05.04, 748, 500 , 100.52 , 4061.12
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,5913222,62.46, 0.21, 0:09.80, 639, 500 , 51.42 , 2365.29
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,10031412,63.05, 0.18, 0:10.36, 609, 500 , 48.59 , 4012.56
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,6251968,80.38, 0.18, 0:13.51, 596, 500 , 37.22 , 2500.79
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,8485130,36.89, 0.17, 0:06.06, 610, 500 , 83.43 , 3394.05
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,7882856,24.79, 0.19, 0:03.96, 629, 500 , 128.58 , 3153.14
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,10654693,14.13, 0.11, 0:02.18, 652, 500 , 237.56 , 4261.88
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,7937341,34.14, 0.16, 0:05.73, 597, 500 , 88.34 , 3174.94
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,7941151,34.24, 0.20, 0:05.71, 603, 500 , 88.68 , 3176.46
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,6625875,13.47, 0.12, 0:02.01, 674, 500 , 257.07 , 2650.35
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,12306466,1.55, 0.10, 0:00.37, 444, 500 , 1702.27 , 4922.59
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,6972039,34.34, 0.17, 0:05.76, 598, 500 , 87.85 , 2788.82
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,6474433,21.77, 0.17, 0:03.47, 632, 500 , 146.95 , 2589.77
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,6477832,22.05, 0.14, 0:03.52, 630, 500 , 145.20 , 2591.13
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,6471137,21.74, 0.15, 0:03.51, 623, 500 , 145.51 , 2588.45
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,6207635,11.90, 0.13, 0:01.81, 662, 500 , 287.35 , 2483.05
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,7326939,22.55, 0.16, 0:03.60, 630, 500 , 141.72 , 2930.78
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,7584068,76.37, 0.16, 0:10.18, 751, 500 , 49.49 , 3033.63
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,7875761,57.72, 0.21, 0:07.77, 745, 500 , 64.99 , 3150.30
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,7873159,74.30, 0.18, 0:09.89, 752, 500 , 50.93 , 3149.26
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,7652728,39.08, 0.21, 0:05.34, 734, 500 , 94.91 , 3061.09
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,12306466,1.59, 0.08, 0:00.36, 462, 500 , 1746.23 , 4922.59
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,7220538,9.09, 0.19, 0:02.51, 368, 500 , 204.98 , 2888.22
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,6556342,38.52, 0.25, 0:05.18, 748, 500 , 97.92 , 2622.54
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,8056241,38.21, 0.27, 0:05.96, 645, 500 , 85.00 , 3222.50
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,9876618,22.58, 0.13, 0:03.71, 611, 500 , 137.63 , 3950.65
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,7598638,19.04, 0.14, 0:02.94, 650, 500 , 174.20 , 3039.46
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,8716065,23.84, 0.25, 0:03.72, 647, 500 , 137.41 , 3486.43
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,8322875,13.28, 0.20, 0:02.13, 632, 500 , 243.19 , 3329.15
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,7563965,30.85, 0.19, 0:04.18, 742, 500 , 121.77 , 3025.59
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,7502197,32.89, 0.23, 0:04.47, 741, 500 , 113.91 , 3000.88
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,7842385,57.41, 0.17, 0:07.75, 742, 500 , 65.16 , 3136.95
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,12254729,1.59, 0.10, 0:00.37, 450, 500 , 1680.16 , 4901.89
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,7867195,57.52, 0.21, 0:07.74, 745, 500 , 65.20 , 3146.88
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,9794569,67.97, 0.21, 0:09.18, 742, 500 , 54.93 , 3917.83
173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,8066804,7.45, 0.14, 0:01.45, 524, 500 , 360.27 , 3226.72
174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,6575848,13.01, 0.14, 0:02.43, 540, 500 , 210.57 , 2630.34
175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,8066804,7.97, 0.19, 0:01.47, 554, 500 , 358.15 , 3226.72
176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,7873875,59.74, 0.52, 0:11.05, 545, 500 , 45.57 , 3149.55
177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,8006120,12.49, 0.37, 0:04.08, 314, 500 , 124.43 , 3202.45
178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,7550875,90.20, 0.66, 0:14.00, 648, 500 , 35.89 , 3020.35
179,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,0,60,1,69,0,9804581,68.85, 0.23, 0:09.23, 747, 500 , 54.59 , 3921.83
180,1,8,1:0:0,0x3:0x113,hex,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,7904855,51.25, 0.22, 0:06.97, 737, 500 , 72.47 , 3161.94
18,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,3,2,1,None,1,0,0,0,None,0,69,0,10418541,1.90, 0.09, 0:00.53, 372, 500 , 1101.54 , 4167.42
181,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,10,1,69,1,7880809,57.11, 0.21, 0:07.59, 755, 500 , 66.48 , 3152.32
182,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,40,1,69,1,7882214,58.89, 0.25, 0:07.91, 746, 500 , 63.77 , 3152.89
183,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,0,8,2,2,spatial,1,0,2,40,60,1,69,1,7540253,108.10, 0.17, 0:14.51, 745, 500 , 34.59 , 3016.10
184,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,0,40,60,1,69,0,9487750,121.96, 0.21, 0:16.29, 749, 500 , 30.83 , 3795.10
185,1,16,0:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,7568991,109.57, 0.26, 0:14.79, 742, 500 , 33.99 , 3027.60
186,1,8,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,50,1,69,1,7569663,87.83, 0.24, 0:11.90, 739, 500 , 42.27 , 3027.87
187,0,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,8000404,151.40, 0.13, 0:20.10, 753, 500 , 24.97 , 3200.16
188,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,auto,1,0,2,40,60,1,69,1,7563564,109.40, 0.21, 0:14.87, 736, 500 , 33.80 , 3025.43
189,1,16,0:0:0,0x3:0x113,hex,11,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,7617892,104.79, 0.23, 0:14.07, 746, 500 , 35.73 , 3047.16
