configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,true,true,true,false,true,true,false,true,true,20,9,48,2.553,0.060,0.755
10,true,true,true,true,false,true,false,false,true,40,9,56,2.630,0.066,0.856
100,true,true,true,false,true,false,true,true,false,40,1,64,1.142,0.050,0.341
1000,true,true,true,true,false,true,true,true,false,40,9,64,2.570,0.061,0.760
1001,true,false,true,false,true,false,false,true,false,60,5,56,1.524,0.057,0.484
1002,true,false,true,true,false,true,false,false,false,60,5,56,1.803,0.058,0.611
1003,true,false,true,false,true,false,false,true,false,60,1,56,1.116,0.052,0.349
1004,true,false,true,true,false,true,false,false,false,60,1,56,1.076,0.052,0.344
1005,true,true,true,false,true,true,false,false,true,60,1,56,1.059,0.051,0.327
1006,true,true,true,false,true,true,false,false,true,60,9,52,2.615,0.064,0.845
1007,true,true,true,false,true,true,false,false,true,60,5,56,1.790,0.061,0.584
1008,true,false,true,false,true,false,false,true,false,60,9,56,2.176,0.062,0.673
1009,true,false,true,true,true,false,false,false,true,20,1,52,1.058,0.050,0.313
101,true,false,true,false,false,false,true,false,false,40,5,60,1.657,0.055,0.508
1010,true,false,true,true,false,true,false,false,false,60,9,56,2.633,0.067,0.884
1011,true,true,true,true,true,true,false,false,false,20,1,52,1.053,0.050,0.312
1012,true,false,true,true,true,true,true,false,false,60,5,68,1.915,0.061,0.598
1013,true,false,true,true,true,true,true,true,false,40,1,68,1.165,0.050,0.348
1014,true,false,true,true,true,true,true,false,false,60,1,68,1.117,0.050,0.338
1015,true,true,true,true,true,true,false,false,false,20,9,48,2.649,0.069,0.848
1016,true,true,true,true,true,true,false,false,false,20,5,52,1.775,0.058,0.565
1017,true,true,true,true,false,false,false,true,false,60,1,56,1.062,0.053,0.340
1018,true,false,true,true,true,true,true,true,false,40,9,68,2.559,0.060,0.764
1019,true,true,true,true,false,true,true,true,false,60,1,64,1.152,0.050,0.343
102,true,true,true,true,false,true,true,false,false,40,1,64,1.107,0.051,0.333
1020,true,false,true,true,true,true,true,true,false,40,5,68,1.790,0.055,0.544
1021,true,false,true,true,true,true,true,false,false,60,9,64,2.727,0.063,0.858
1022,true,true,true,true,false,true,true,true,false,60,5,64,1.738,0.054,0.524
1023,true,false,true,true,false,true,false,true,false,60,1,56,1.125,0.053,0.358
1024,true,true,true,true,false,true,true,true,false,60,9,64,2.568,0.061,0.760
1025,true,false,true,true,false,false,true,false,true,20,9,68,2.450,0.065,0.750
1026,true,true,true,false,true,true,false,true,false,60,1,56,1.065,0.051,0.331
1027,true,false,true,true,false,false,true,false,true,20,1,68,1.123,0.051,0.342
1028,true,false,true,true,false,false,true,false,true,20,5,68,1.640,0.053,0.508
1029,true,true,true,false,true,true,false,true,false,60,9,56,2.511,0.066,0.772
103,true,true,true,false,true,false,true,true,false,40,5,64,1.562,0.054,0.485
1030,true,false,true,false,true,false,false,false,true,20,9,48,2.149,0.059,0.657
1031,true,true,true,true,false,false,false,true,false,60,5,56,1.551,0.057,0.496
1032,true,true,true,true,true,true,false,true,true,40,9,56,2.476,0.062,0.753
1033,true,false,true,false,true,false,false,false,true,20,5,48,1.509,0.055,0.461
1034,true,true,true,false,true,true,false,true,false,60,5,56,1.714,0.058,0.535
1035,true,true,true,true,false,false,false,true,false,60,9,56,2.173,0.059,0.673
1036,true,false,true,false,true,false,false,false,true,20,1,48,1.061,0.052,0.312
1037,true,false,true,true,false,true,false,true,false,60,9,56,2.501,0.068,0.784
1038,true,true,true,true,true,true,false,false,true,60,5,56,1.771,0.058,0.583
1039,true,true,true,true,true,true,false,true,true,40,1,56,1.041,0.050,0.317
104,true,false,true,false,false,false,true,false,false,40,1,64,1.174,0.051,0.350
1040,true,false,true,true,false,true,false,true,false,60,5,56,1.689,0.059,0.544
1041,true,true,true,true,true,true,false,false,true,60,9,56,2.592,0.065,0.844
1042,true,true,true,true,true,true,false,true,true,40,5,56,1.698,0.056,0.529
1043,true,false,true,true,true,true,true,false,false,40,5,68,1.868,0.056,0.586
1044,true,false,true,true,true,true,true,true,false,20,1,68,1.125,0.049,0.337
1045,true,true,true,true,true,true,false,false,false,40,1,56,1.072,0.052,0.328
1046,true,false,true,true,true,true,true,false,false,40,1,68,1.225,0.054,0.366
1047,true,true,true,false,false,true,false,false,true,20,9,48,2.673,0.062,0.849
1048,true,true,true,true,true,true,false,false,false,40,9,56,2.640,0.064,0.855
1049,true,true,true,true,true,true,false,true,false,20,5,52,1.700,0.055,0.517
105,true,true,true,true,false,true,true,false,false,40,5,64,1.857,0.056,0.584
1050,true,true,true,false,false,true,false,false,true,20,5,48,1.804,0.056,0.574
1051,true,true,true,true,true,true,false,true,false,20,1,52,1.071,0.052,0.318
1052,true,true,true,true,true,true,false,false,false,40,5,56,1.747,0.057,0.571
1053,true,true,true,false,false,true,false,false,true,20,1,48,1.131,0.051,0.329
1054,true,false,true,true,false,false,true,false,true,40,1,68,1.146,0.050,0.349
1055,true,false,true,true,true,true,true,true,false,20,9,68,2.615,0.058,0.780
1056,true,false,true,true,true,true,true,false,false,40,9,64,2.749,0.062,0.870
1057,true,false,true,true,true,true,true,true,false,20,5,68,1.813,0.055,0.547
1058,true,false,true,true,false,false,true,true,true,20,9,68,2.231,0.061,0.695
1059,true,false,true,true,false,false,true,false,true,40,5,68,1.714,0.056,0.532
106,true,true,true,false,true,false,true,true,false,40,9,64,2.246,0.058,0.691
1060,true,false,true,true,false,false,true,true,true,20,1,68,1.156,0.053,0.351
1061,true,true,true,false,true,true,false,true,false,40,1,52,1.193,0.056,0.357
1062,true,true,true,false,true,true,false,false,false,60,5,52,1.790,0.057,0.589
1063,true,false,true,true,false,false,true,false,true,40,9,68,2.419,0.062,0.743
1064,true,false,true,true,false,false,true,true,true,20,5,68,1.604,0.055,0.496
1065,true,true,true,false,true,true,false,false,false,60,1,56,1.109,0.052,0.342
1066,true,true,true,true,true,true,false,true,true,60,9,56,2.542,0.064,0.783
1067,true,true,true,false,true,true,false,true,false,40,9,52,2.578,0.061,0.778
1068,true,true,true,false,true,true,false,true,false,40,5,52,1.802,0.058,0.556
1069,true,true,true,true,true,true,false,true,false,20,9,52,2.597,0.061,0.775
107,true,false,true,false,false,false,false,true,false,20,1,48,1.152,0.054,0.342
1070,true,true,true,false,true,true,false,false,false,60,9,52,2.686,0.060,0.877
1071,true,true,true,true,true,true,false,true,true,60,1,56,1.086,0.054,0.339
1072,true,true,true,true,true,true,false,true,true,60,5,56,1.723,0.057,0.546
1073,true,false,true,true,true,true,true,false,false,20,1,68,1.353,0.055,0.401
1074,true,false,true,false,true,false,false,true,true,20,9,48,2.179,0.059,0.665
1075,true,true,true,true,false,false,false,false,false,40,1,56,1.104,0.053,0.337
1076,true,false,true,false,true,true,true,false,false,60,9,64,2.844,0.066,0.890
1077,true,false,true,true,false,false,true,true,false,60,9,68,2.338,0.065,0.722
1078,true,false,true,false,true,true,true,true,false,40,5,64,1.854,0.056,0.554
1079,true,false,true,false,true,true,true,true,false,40,9,64,2.744,0.062,0.806
108,true,true,true,true,false,true,true,false,false,40,9,64,2.845,0.066,0.895
1080,true,false,true,true,false,false,true,false,true,60,1,68,1.166,0.053,0.353
1081,true,false,true,true,true,true,true,false,false,20,9,64,2.801,0.061,0.886
1082,true,false,true,false,true,true,true,false,false,60,1,64,1.197,0.051,0.352
1083,true,false,true,true,false,false,true,true,false,60,1,64,1.202,0.055,0.374
1084,true,false,true,true,true,true,true,false,false,20,5,68,1.961,0.058,0.616
1085,true,false,true,true,false,false,true,true,false,60,5,68,1.654,0.057,0.515
1086,true,false,true,false,true,true,true,false,false,60,5,64,1.939,0.057,0.598
1087,true,false,true,false,true,true,true,true,false,40,1,64,1.188,0.051,0.350
1088,true,true,true,false,true,false,true,false,true,20,1,64,1.158,0.051,0.347
1089,true,false,true,true,false,false,true,true,true,40,9,68,2.290,0.060,0.705
109,true,false,true,false,true,false,false,false,false,60,9,56,2.441,0.065,0.763
1090,true,true,true,false,true,false,true,false,true,20,5,64,1.709,0.054,0.522
1091,true,true,true,true,false,false,false,true,true,60,9,56,2.300,0.062,0.703
1092,true,true,true,false,true,false,true,false,true,20,9,64,2.457,0.059,0.749
1093,true,false,true,true,false,false,true,false,true,60,5,68,1.785,0.059,0.552
1094,true,false,true,true,false,false,true,true,true,40,1,68,1.189,0.053,0.359
1095,true,false,true,true,false,false,true,false,true,60,9,68,2.448,0.061,0.749
1096,true,false,true,true,false,false,true,true,true,40,5,68,1.628,0.057,0.508
1097,true,true,true,true,false,false,false,false,false,40,5,52,1.652,0.058,0.521
1098,true,true,true,true,true,true,false,false,true,20,9,52,2.711,0.063,0.861
1099,true,true,true,true,false,false,false,true,false,20,1,48,1.163,0.053,0.342
11,true,false,true,true,true,true,true,false,true,40,1,68,1.188,0.052,0.352
110,true,false,true,false,false,false,false,true,false,20,5,48,1.579,0.058,0.484
1100,true,false,true,false,true,false,false,true,true,40,9,52,2.174,0.061,0.664
1101,true,false,true,false,true,false,false,false,true,60,9,56,2.369,0.063,0.741
1102,true,true,true,true,false,false,false,false,false,40,9,52,2.324,0.061,0.720
1103,true,false,true,false,true,false,false,true,true,40,5,52,1.640,0.058,0.498
1104,true,true,true,true,false,false,false,true,false,20,5,52,1.564,0.059,0.483
1105,true,false,true,false,true,false,false,false,true,60,5,56,1.645,0.057,0.522
1106,true,true,true,true,false,false,false,true,true,60,5,56,1.575,0.057,0.495
1107,true,true,true,true,true,true,false,false,true,20,1,52,1.159,0.054,0.339
1108,true,false,true,false,true,false,false,true,true,40,1,52,1.139,0.053,0.345
1109,true,true,true,true,false,false,false,true,false,20,9,52,2.159,0.060,0.669
111,true,false,true,false,false,true,true,false,false,20,1,64,1.250,0.052,0.374
1110,true,false,true,false,true,false,false,false,true,60,1,56,1.131,0.053,0.349
1111,true,true,true,true,false,false,false,true,true,60,1,56,1.099,0.052,0.343
1112,true,true,true,true,true,true,false,false,true,20,5,52,1.816,0.057,0.575
1113,true,true,true,true,true,true,false,false,true,60,1,56,1.095,0.053,0.339
1114,true,true,true,true,false,false,false,false,false,60,1,56,1.133,0.053,0.356
1115,true,true,true,true,false,false,false,false,false,60,5,56,1.641,0.055,0.527
1116,true,true,true,true,false,false,false,true,false,40,1,56,1.115,0.053,0.342
1117,true,false,true,true,false,false,true,false,false,60,9,64,2.463,0.059,0.757
1118,true,false,true,true,false,false,true,true,false,40,5,68,1.642,0.055,0.508
1119,true,false,true,false,true,true,true,true,false,60,9,64,2.712,0.062,0.798
112,true,false,true,false,true,false,false,false,false,60,5,56,1.653,0.057,0.530
1120,true,false,true,true,true,true,true,false,true,20,5,68,2.067,0.063,0.639
1121,true,false,true,true,false,false,true,true,false,40,9,68,2.365,0.064,0.735
1122,true,false,true,true,false,false,true,true,true,60,1,68,1.163,0.051,0.352
1123,true,false,true,true,true,true,true,false,true,20,1,68,1.172,0.050,0.347
1124,true,false,true,false,true,true,true,true,false,60,1,64,1.196,0.052,0.352
1125,true,false,true,true,false,false,true,false,false,60,1,64,1.237,0.057,0.378
1126,true,false,true,false,true,true,true,true,false,60,5,64,1.847,0.056,0.553
1127,true,false,true,true,false,false,true,false,false,60,5,64,1.722,0.054,0.533
1128,true,false,true,true,false,false,true,true,false,40,1,64,1.181,0.052,0.360
1129,true,true,true,false,true,false,true,false,true,60,1,64,1.158,0.051,0.346
113,true,false,true,false,false,false,false,true,false,20,9,48,2.187,0.062,0.670
1130,true,true,true,false,true,false,true,false,true,40,1,64,1.154,0.053,0.345
1131,true,true,true,false,true,false,true,true,true,20,1,64,1.146,0.051,0.344
1132,true,true,true,false,true,false,true,false,true,40,5,64,1.694,0.054,0.515
1133,true,false,true,true,false,false,true,true,true,60,5,68,1.625,0.058,0.504
1134,true,true,true,false,true,false,true,true,true,20,5,64,1.601,0.054,0.491
1135,true,true,true,false,true,false,true,false,true,40,9,64,2.482,0.063,0.756
1136,true,false,true,true,false,false,true,true,true,60,9,68,2.239,0.059,0.690
1137,true,false,true,true,true,true,true,false,true,20,9,68,2.760,0.060,0.868
1138,true,true,true,false,true,false,true,true,true,20,9,64,2.243,0.059,0.689
1139,true,true,true,true,true,true,false,false,true,40,9,56,2.630,0.062,0.862
114,true,false,true,false,false,true,true,false,false,20,5,64,1.985,0.059,0.617
1140,true,true,true,true,false,false,false,false,false,60,9,56,2.429,0.066,0.759
1141,true,true,true,true,false,false,false,true,false,40,5,56,1.545,0.056,0.481
1142,true,false,true,false,true,false,false,true,true,20,5,48,1.509,0.055,0.457
1143,true,true,true,true,true,true,false,true,true,20,5,52,1.737,0.056,0.528
1144,true,false,true,false,true,false,false,false,true,40,9,52,2.350,0.062,0.722
1145,true,false,true,false,true,false,false,true,true,20,1,48,1.117,0.051,0.327
1146,true,true,true,true,false,false,false,true,false,40,9,56,2.202,0.061,0.682
1147,true,true,true,true,true,true,false,true,true,20,9,52,2.629,0.061,0.785
1148,true,false,true,false,true,false,false,false,true,40,5,52,1.660,0.058,0.517
1149,true,true,true,true,true,true,false,false,true,40,1,56,1.115,0.053,0.338
115,true,false,true,false,false,true,false,false,true,60,9,56,2.843,0.066,0.928
1150,true,false,true,false,true,false,false,false,true,40,1,52,1.152,0.054,0.346
1151,true,true,true,true,true,true,false,false,true,40,5,56,1.812,0.058,0.591
1152,true,true,true,true,true,true,false,true,true,20,1,52,1.107,0.052,0.322
116,true,false,true,false,true,false,false,false,false,60,1,56,1.121,0.052,0.351
117,true,false,true,false,false,true,true,false,false,20,9,64,2.855,0.064,0.891
118,true,false,true,false,false,true,false,false,true,60,5,56,1.881,0.059,0.633
119,true,true,true,false,true,true,true,true,false,20,9,64,2.707,0.065,0.792
12,true,true,true,false,true,false,false,true,true,40,5,52,1.537,0.055,0.475
120,true,false,true,false,false,true,false,false,true,60,1,56,1.133,0.052,0.351
121,true,true,true,false,false,true,true,true,true,40,5,64,1.817,0.055,0.541
122,true,true,true,false,false,true,true,true,true,40,9,64,2.651,0.057,0.773
123,true,true,true,false,true,true,true,true,false,20,1,60,1.220,0.053,0.363
124,true,true,true,false,true,true,false,true,true,60,5,56,1.784,0.058,0.558
125,true,true,true,false,true,true,true,true,false,20,5,64,1.866,0.056,0.555
126,true,true,true,false,true,true,false,true,true,60,1,56,1.141,0.054,0.349
127,true,true,true,false,true,true,false,true,true,40,9,52,2.633,0.062,0.794
128,true,false,true,false,false,false,true,false,false,60,9,64,2.468,0.062,0.749
129,true,false,true,false,false,true,true,false,true,20,1,64,1.197,0.050,0.354
13,true,true,true,true,false,true,false,false,true,40,5,56,1.831,0.058,0.596
130,true,false,true,true,true,true,false,true,false,40,9,56,2.647,0.064,0.812
131,true,true,true,true,false,true,true,false,false,60,1,64,1.221,0.053,0.366
132,true,false,true,false,false,true,true,false,true,20,5,64,1.937,0.058,0.606
133,true,true,true,false,true,false,true,true,false,60,1,64,1.152,0.051,0.348
134,true,false,true,true,true,true,false,true,false,40,5,56,1.762,0.056,0.555
135,true,true,true,true,false,true,true,false,false,60,5,64,1.989,0.063,0.624
136,true,false,true,false,false,true,true,false,true,20,9,64,2.823,0.061,0.885
137,true,true,true,false,true,false,true,true,false,60,5,64,1.639,0.056,0.509
138,true,false,true,false,false,false,true,false,false,60,5,60,1.700,0.054,0.523
139,true,true,true,true,false,true,true,false,false,60,9,64,2.829,0.064,0.892
14,true,false,true,false,true,true,false,false,false,20,9,48,2.738,0.066,0.885
140,true,true,true,false,true,false,true,true,false,60,9,64,2.266,0.061,0.702
141,true,false,true,false,false,false,false,true,false,40,1,52,1.132,0.051,0.344
142,true,false,true,false,false,false,true,false,false,60,1,64,1.175,0.051,0.352
143,true,false,true,false,false,false,false,true,false,40,5,52,1.562,0.059,0.490
144,true,false,true,true,true,false,true,false,true,20,9,68,2.457,0.063,0.751
145,true,false,true,false,false,true,false,false,true,40,9,52,2.771,0.067,0.901
146,true,false,true,false,false,false,false,true,false,40,9,52,2.152,0.059,0.661
147,true,false,true,true,true,false,true,false,true,20,5,68,1.675,0.055,0.515
148,true,true,true,true,false,false,false,false,true,20,9,48,2.241,0.064,0.681
149,true,false,true,false,false,true,false,false,true,40,5,52,1.894,0.061,0.616
15,true,false,true,false,false,false,false,true,false,60,1,56,1.132,0.054,0.351
150,true,false,true,true,true,true,false,true,false,60,5,60,1.700,0.055,0.543
151,true,false,true,false,false,true,false,false,true,40,1,52,1.115,0.052,0.333
152,true,true,true,false,true,true,true,false,true,60,9,64,2.728,0.058,0.840
153,true,false,true,true,true,true,false,true,false,60,1,56,1.152,0.054,0.359
154,true,true,true,false,true,true,true,false,true,60,5,64,1.891,0.055,0.578
155,true,true,true,false,false,true,true,true,true,20,1,64,1.165,0.052,0.343
156,true,true,true,false,true,true,true,false,true,60,1,64,1.179,0.052,0.347
157,true,true,true,false,false,true,true,true,true,20,5,64,1.848,0.058,0.551
158,true,true,true,false,true,true,false,true,true,40,5,52,1.735,0.055,0.536
159,true,true,true,false,false,true,true,true,true,20,9,64,2.637,0.060,0.771
16,true,true,true,false,true,false,false,true,true,40,1,52,1.108,0.051,0.330
160,true,false,true,true,true,false,true,false,true,20,1,68,1.162,0.051,0.351
161,true,true,true,true,false,false,false,false,true,20,5,48,1.567,0.054,0.479
162,true,true,true,false,true,true,false,true,true,40,1,52,1.125,0.052,0.337
163,true,true,true,true,false,false,false,false,true,20,1,48,1.100,0.051,0.330
164,true,false,true,false,false,false,true,false,true,60,5,64,1.687,0.054,0.514
165,true,true,true,true,false,true,false,true,false,40,5,56,1.747,0.057,0.548
166,true,true,true,true,false,true,false,false,false,60,9,56,2.762,0.067,0.920
167,true,false,true,true,true,false,false,true,false,40,9,56,2.226,0.065,0.684
168,true,false,true,false,false,false,true,false,true,60,9,64,2.375,0.058,0.724
169,true,true,true,true,false,true,false,false,false,60,5,56,1.784,0.057,0.601
17,true,true,true,true,false,true,false,false,true,40,1,56,1.073,0.051,0.324
170,true,true,true,true,false,true,false,true,false,40,1,56,1.090,0.053,0.336
171,true,false,true,true,true,false,false,true,false,40,5,56,1.503,0.053,0.469
172,true,true,true,true,false,true,false,false,false,60,1,56,1.085,0.051,0.343
173,true,false,true,true,true,false,false,true,false,40,1,56,1.085,0.052,0.335
174,true,false,true,false,false,false,true,false,true,60,1,64,1.161,0.050,0.342
175,true,false,true,false,false,true,true,false,true,40,1,64,1.179,0.051,0.350
176,true,false,true,false,false,true,true,false,true,40,5,64,1.867,0.054,0.581
177,true,false,true,false,false,true,true,false,true,40,9,64,2.754,0.061,0.862
178,true,true,true,true,false,true,false,true,false,40,9,56,2.553,0.064,0.781
179,true,false,true,false,false,false,false,false,true,40,1,52,1.120,0.052,0.341
18,true,false,true,false,true,true,false,false,false,20,5,48,1.997,0.064,0.630
180,true,false,true,false,false,false,false,true,true,20,1,48,1.145,0.054,0.338
181,true,false,true,false,false,false,false,false,true,40,5,52,1.615,0.055,0.504
182,true,true,true,true,true,false,false,false,false,20,9,48,2.255,0.057,0.685
183,true,false,true,false,false,false,false,true,true,20,5,48,1.522,0.056,0.467
184,true,false,true,false,false,false,false,false,true,40,9,52,2.336,0.066,0.722
185,true,false,true,false,false,true,true,false,true,60,1,64,1.177,0.052,0.349
186,true,true,true,true,true,false,false,false,false,20,5,48,1.592,0.055,0.488
187,true,false,true,false,false,false,false,true,true,20,9,48,2.143,0.060,0.654
188,true,false,true,true,true,false,true,true,false,60,5,68,1.643,0.055,0.511
189,true,true,true,true,true,false,false,false,false,20,1,52,1.095,0.051,0.326
19,true,false,true,false,false,false,false,true,false,60,5,56,1.579,0.056,0.497
190,true,false,true,true,true,false,true,true,false,60,1,68,1.158,0.054,0.360
191,true,false,true,true,true,false,true,true,false,60,9,68,2.207,0.056,0.683
192,true,false,true,false,false,false,true,false,false,20,9,64,2.363,0.057,0.718
193,true,false,true,true,true,false,false,true,false,20,9,52,2.134,0.060,0.657
194,true,true,true,true,false,true,false,true,false,20,5,52,1.715,0.055,0.522
195,true,true,true,true,false,true,false,false,false,40,9,52,2.650,0.061,0.877
196,true,true,true,true,true,false,true,true,true,60,9,68,2.190,0.057,0.670
197,true,false,true,false,false,false,true,false,false,20,5,60,1.662,0.054,0.510
198,true,false,true,true,true,false,false,true,false,20,5,52,1.594,0.056,0.491
199,true,true,true,true,false,true,false,true,false,20,1,52,1.104,0.052,0.330
2,true,true,true,false,true,true,false,true,true,20,5,48,1.750,0.055,0.529
20,true,false,true,true,true,false,true,false,true,40,9,68,2.468,0.063,0.757
200,true,true,true,true,false,true,false,false,false,40,5,56,1.826,0.058,0.602
201,true,false,true,true,true,false,false,true,false,20,1,52,1.117,0.051,0.332
202,true,true,true,true,false,true,false,false,false,40,1,56,1.107,0.051,0.336
203,true,false,true,false,false,true,true,false,true,60,5,64,1.965,0.059,0.609
204,true,false,true,false,false,true,true,false,true,60,9,64,2.833,0.060,0.887
205,true,true,true,true,true,false,true,true,true,60,5,68,1.599,0.054,0.493
206,true,false,true,false,false,false,true,false,false,20,1,64,1.175,0.051,0.350
207,true,true,true,true,true,false,true,true,true,60,1,68,1.146,0.051,0.342
208,true,true,true,true,false,true,false,true,false,20,9,52,2.568,0.059,0.771
209,true,false,true,false,false,false,false,false,true,60,1,56,1.093,0.052,0.341
21,true,true,true,false,true,false,true,false,true,60,5,64,1.687,0.054,0.517
210,true,false,true,false,false,false,false,true,true,40,1,52,1.100,0.054,0.336
211,true,false,true,false,false,false,false,false,true,60,5,56,1.610,0.055,0.514
212,true,true,true,true,true,false,false,false,false,40,9,52,2.238,0.059,0.690
213,true,false,true,false,false,false,false,true,true,40,5,52,1.506,0.054,0.467
214,true,false,true,false,false,false,false,false,true,60,9,56,2.292,0.058,0.714
215,true,true,true,true,true,false,false,false,false,40,5,52,1.580,0.054,0.497
216,true,false,true,false,false,false,false,true,true,40,9,52,2.188,0.065,0.671
