,mbtree,aq-mode,subme
video_705,0.11,-0.62,-0.32
video_706,-0.02,-0.27,-0.24
video_707,0.23,-0.74,-0.17
video_708,-0.9,0.48,-0.12
video_709,0.21,-0.62,-0.33
video_710,-0.85,0.04,-0.19
video_711,0.27,-0.75,-0.38
video_712,-0.57,0.2,-0.27
video_713,0.13,-0.7,-0.29
video_714,-0.79,0.31,-0.25
video_715,-0.88,0.58,0.04
video_716,0.08,-0.61,-0.35
video_717,0.11,-0.17,-0.36
video_718,0.01,-0.59,-0.43
video_719,-0.16,-0.55,-0.43
video_720,-0.31,-0.21,-0.51
video_721,-0.29,-0.41,-0.32
video_722,-0.62,-0.39,-0.13
video_723,-0.42,-0.26,-0.36
video_724,-0.56,-0.22,-0.28
video_725,-0.3,-0.46,-0.38
video_726,-0.51,-0.27,-0.3
video_727,-0.31,-0.65,-0.24
video_728,0.16,-0.64,-0.42
video_729,-0.76,-0.31,-0.12
video_730,-0.07,-0.42,-0.54
video_731,-0.13,-0.57,-0.35
video_732,-0.54,-0.42,-0.11
video_733,0.1,-0.76,-0.34
video_734,-0.17,-0.65,-0.34
video_735,-0.09,-0.58,-0.23
video_736,-0.23,-0.62,-0.27
video_737,-0.93,0.48,0.04
video_738,0.5,-0.78,-0.37
video_739,-0.18,-0.49,-0.4
video_740,-0.14,-0.45,-0.34
video_741,0.26,-0.52,-0.59
video_742,-0.26,-0.26,-0.47
video_743,-0.06,-0.63,-0.32
video_744,0.23,-0.63,-0.06
video_745,0.1,-0.25,-0.13
video_746,0.16,-0.49,-0.57
video_747,-0.89,0.03,-0.18
video_748,-0.4,-0.62,-0.2
video_749,-0.36,-0.29,-0.23
video_750,0.0,-0.66,-0.34
video_751,0.5,-0.87,-0.3
video_752,0.03,-0.59,-0.3
video_753,-0.78,0.08,-0.17
video_754,-0.04,-0.46,-0.29
video_755,-0.11,-0.71,-0.22
video_756,-0.5,-0.37,-0.28
video_757,-0.01,-0.53,-0.48
video_758,-0.51,-0.21,-0.32
video_759,-0.2,-0.49,-0.33
video_760,-0.47,-0.22,-0.3
video_761,-0.46,-0.27,-0.32
video_762,0.3,-0.6,-0.12
video_763,-0.32,-0.33,-0.34
video_764,-0.09,-0.5,-0.38
video_765,-0.46,-0.23,-0.42
video_766,0.35,-0.28,-0.51
video_767,-0.69,0.05,-0.31
video_768,-0.04,-0.58,-0.31
video_769,-0.88,0.54,-0.11
video_770,-0.29,-0.47,-0.3
video_771,0.0,-0.65,-0.27
video_772,-0.44,-0.54,-0.19
video_773,-0.35,-0.56,-0.22
video_774,0.2,-0.81,-0.21
video_775,-0.36,-0.51,-0.28
video_776,-0.14,-0.56,-0.3
video_777,-0.46,-0.46,-0.26
video_778,-0.53,-0.16,-0.28
video_779,-0.68,0.07,-0.26
video_780,-0.69,0.04,-0.23
video_781,-0.14,-0.58,-0.29
video_782,0.04,-0.54,-0.38
video_783,0.29,-0.73,-0.31
video_784,-0.03,-0.62,-0.26
video_785,-0.29,-0.46,-0.43
video_786,0.28,-0.87,0.08
video_787,-0.14,-0.61,-0.3
video_788,-0.16,-0.46,-0.39
video_789,-0.28,-0.59,-0.19
video_790,-0.02,-0.57,-0.39
video_791,-0.35,-0.38,-0.37
video_792,-0.56,-0.35,-0.23
video_793,0.7,-0.71,-0.39
video_794,0.32,-0.68,-0.38
video_795,-0.1,-0.47,-0.47
video_796,0.25,-0.67,-0.4
video_797,-0.37,-0.56,-0.12
video_798,0.05,-0.68,-0.4
video_799,-0.03,-0.66,-0.33
video_800,-0.25,-0.65,-0.28
video_801,0.15,-0.8,-0.37
video_802,0.12,-0.6,-0.42
video_803,0.13,-0.71,-0.35
video_804,-0.13,-0.44,-0.35
video_805,0.27,-0.66,-0.44
video_806,0.13,-0.63,-0.38
video_807,-0.09,-0.68,-0.35
video_808,0.01,-0.6,-0.41
video_809,-0.1,-0.72,-0.24
video_810,-0.34,-0.62,-0.19
video_811,0.25,-0.71,-0.31
video_812,0.54,-0.79,-0.16
video_813,-0.51,-0.33,-0.28
video_814,-0.31,-0.47,-0.23
video_815,0.08,-0.73,-0.24
video_816,0.19,-0.7,-0.3
video_817,-0.6,-0.31,-0.19
video_818,0.15,-0.75,-0.28
video_819,-0.08,-0.59,-0.3
video_820,-0.53,-0.29,-0.29
video_821,-0.2,-0.47,-0.37
video_822,0.17,-0.78,-0.29
video_823,0.01,-0.62,-0.34
video_824,-0.07,-0.71,-0.22
video_825,-0.1,-0.54,-0.4
video_826,-0.43,-0.33,-0.21
video_827,0.17,-0.65,-0.4
video_828,0.01,-0.62,-0.35
video_829,-0.53,-0.32,-0.22
video_830,-0.57,-0.29,-0.25
video_831,-0.35,-0.6,-0.26
video_832,0.67,-0.72,-0.33
video_833,0.23,-0.79,-0.21
video_834,0.06,-0.62,-0.34
video_835,-0.02,-0.76,0.04
video_836,-0.01,-0.5,-0.5
video_837,-0.19,-0.65,-0.19
video_838,0.25,-0.75,-0.32
video_839,0.34,-0.78,-0.26
video_840,0.22,-0.69,-0.33
video_841,0.1,-0.58,-0.32
video_842,-0.61,0.01,-0.29
video_843,-0.01,-0.61,-0.34
video_844,-0.58,-0.38,-0.04
video_845,-0.03,-0.53,-0.34
video_846,-0.03,-0.52,-0.33
video_847,-0.11,-0.6,-0.29
video_848,0.31,-0.77,-0.31
video_849,-0.41,-0.42,-0.33
video_850,-0.03,-0.59,-0.34
video_851,0.4,-0.76,-0.29
video_852,-0.0,-0.61,-0.32
video_853,-0.27,-0.29,-0.44
video_854,-0.37,-0.5,-0.21
video_855,0.04,-0.69,-0.2
video_856,0.11,-0.67,-0.38
video_857,0.13,-0.67,-0.27
video_858,-0.42,-0.31,-0.04
video_859,-0.55,-0.37,-0.25
video_860,0.16,-0.7,-0.14
video_861,-0.71,-0.04,-0.34
video_862,-0.69,-0.25,-0.22
video_863,-0.89,0.06,-0.11
video_864,0.46,-0.79,-0.28
video_865,-0.67,-0.17,-0.17
video_866,0.45,-0.8,-0.28
video_867,0.02,-0.76,-0.25
video_868,0.17,-0.56,-0.35
video_869,-0.54,-0.39,-0.27
video_870,0.2,-0.71,-0.28
video_871,0.17,-0.53,-0.43
video_872,0.42,-0.69,-0.35
video_873,0.42,-0.72,-0.35
video_874,0.0,-0.56,-0.27
video_875,-0.4,-0.55,-0.08
video_876,-0.26,-0.49,-0.16
video_877,0.38,-0.67,-0.38
video_878,-0.27,-0.5,-0.3
video_879,-0.58,-0.23,-0.31
video_880,-0.08,-0.53,-0.33
video_881,0.34,-0.79,-0.3
video_882,-0.05,-0.62,-0.33
video_883,-0.13,-0.49,-0.32
video_884,-0.76,0.18,-0.26
video_885,0.33,-0.79,-0.28
video_886,0.46,-0.81,-0.25
video_887,0.53,-0.72,-0.36
video_888,-0.32,-0.44,-0.28
video_889,-0.15,-0.44,-0.34
video_890,-0.43,-0.43,-0.26
video_891,-0.24,0.18,-0.52
video_892,0.53,-0.59,-0.38
video_893,-0.17,-0.38,-0.29
video_894,0.16,-0.72,-0.26
video_895,0.61,-0.8,-0.25
video_896,0.17,-0.78,-0.25
video_897,0.59,-0.39,-0.37
video_898,-0.35,-0.33,-0.41
video_899,-0.43,-0.14,-0.37
video_900,-0.08,-0.51,-0.38
video_901,-0.25,-0.18,-0.21
video_902,-0.36,-0.19,-0.44
video_903,0.04,-0.5,-0.4
video_904,-0.54,-0.1,-0.32
video_905,-0.08,-0.22,-0.3
video_906,-0.35,-0.45,-0.27
video_907,-0.34,-0.35,-0.31
video_908,0.07,-0.43,-0.39
video_909,0.14,-0.58,-0.35
video_910,-0.33,-0.08,-0.46
video_911,0.04,-0.52,-0.38
video_912,-0.16,0.62,-0.11
video_913,0.2,-0.44,-0.42
video_914,-0.27,-0.34,-0.34
video_915,0.29,-0.54,-0.41
video_916,-0.54,0.74,-0.19
video_917,-0.72,0.22,-0.27
video_918,-0.26,-0.27,-0.31
video_919,-0.51,-0.22,-0.29
video_920,0.26,-0.57,-0.38
video_921,0.29,-0.64,-0.28
video_922,-0.72,0.33,-0.19
video_923,-0.67,-0.01,-0.21
video_924,-0.12,-0.34,-0.42
video_925,0.41,-0.76,-0.31
video_926,-0.48,-0.13,-0.17
video_927,-0.81,0.43,-0.08
video_928,0.56,-0.73,-0.28
video_929,-0.0,-0.6,-0.35
video_930,0.11,-0.62,-0.37
video_931,-0.11,-0.63,-0.36
video_932,-0.29,-0.5,-0.23
video_933,0.03,-0.6,-0.36
video_934,0.16,-0.76,-0.29
video_935,0.08,-0.64,-0.31
video_936,0.05,-0.49,-0.47
video_937,-0.1,-0.63,-0.19
video_938,0.28,-0.68,-0.28
video_939,0.27,-0.74,-0.34
video_940,0.28,-0.84,-0.23
video_941,-0.32,-0.53,-0.3
video_942,-0.21,-0.58,-0.32
video_943,0.05,-0.61,-0.41
video_944,0.2,-0.74,-0.32
video_945,0.04,-0.57,-0.43
video_946,0.37,-0.85,-0.13
video_947,-0.19,-0.42,-0.33
video_948,-0.11,-0.74,-0.27
video_949,-0.29,-0.69,-0.07
video_950,0.25,-0.64,-0.38
video_951,0.15,-0.75,-0.28
video_952,0.22,-0.7,-0.27
video_953,-0.11,-0.53,-0.37
video_954,0.42,-0.79,-0.3
video_955,0.28,-0.84,-0.25
video_956,-0.11,-0.53,-0.36
video_957,-0.83,-0.19,-0.01
video_958,0.16,-0.68,-0.38
video_959,-0.01,-0.47,-0.45
video_960,-0.03,-0.38,-0.47
video_961,0.28,-0.79,-0.27
video_962,-0.01,-0.57,-0.43
video_963,0.11,-0.7,-0.35
video_964,0.15,-0.64,-0.37
video_965,0.56,-0.82,-0.3
video_966,0.46,-0.83,-0.21
video_967,0.1,-0.75,-0.27
video_968,0.25,-0.83,-0.11
video_969,-0.26,-0.4,-0.4
video_970,0.37,-0.88,-0.21
video_971,-0.23,-0.46,-0.35
video_972,0.22,-0.83,-0.21
video_973,0.33,-0.71,-0.37
video_974,-0.65,-0.32,-0.17
video_975,0.14,-0.72,-0.28
video_976,0.7,-0.85,-0.25
video_977,0.45,-0.87,-0.22
video_978,0.61,-0.84,-0.24
video_979,-0.29,-0.29,-0.29
video_980,0.14,-0.71,-0.28
video_981,-0.39,-0.31,-0.36
video_982,-0.47,0.1,-0.4
video_983,-0.2,-0.54,-0.3
video_984,0.32,-0.83,-0.14
video_985,-0.28,-0.47,-0.34
video_986,0.65,-0.7,-0.44
video_987,0.33,-0.6,-0.43
video_988,0.27,-0.59,-0.32
video_989,-0.8,0.09,-0.14
video_990,0.47,-0.82,-0.26
video_991,0.56,-0.67,-0.37
video_992,-0.27,-0.39,-0.31
video_993,0.05,-0.58,-0.38
video_994,-0.21,-0.54,-0.26
video_995,0.34,-0.73,-0.08
video_996,0.41,-0.86,-0.21
video_997,-0.0,-0.65,-0.35
video_998,-0.01,-0.61,-0.34
video_999,-0.19,0.01,-0.37
video_1000,0.24,-0.62,-0.52
video_1001,-0.57,-0.31,-0.23
video_1002,0.3,-0.6,-0.45
video_1003,0.23,-0.67,-0.43
video_1004,0.09,-0.66,-0.32
video_1005,0.79,-0.79,-0.14
video_1006,-0.07,-0.44,-0.33
video_1007,-0.25,-0.34,-0.33
video_1008,0.03,-0.9,0.01
video_1009,-0.39,-0.3,-0.39
video_1010,-0.25,-0.31,-0.33
video_1011,0.24,-0.65,-0.32
video_1012,0.02,-0.66,-0.2
video_1013,0.37,-0.69,-0.42
video_1014,0.27,-0.61,-0.44
video_1015,-0.12,-0.64,-0.36
video_1016,-0.16,-0.01,-0.45
video_1017,0.33,-0.87,-0.18
video_1018,0.48,-0.85,0.19
video_1019,0.14,-0.77,-0.25
video_1020,-0.46,-0.04,-0.33
video_1021,0.07,-0.51,-0.46
video_1022,-0.63,-0.34,-0.17
video_1023,-0.21,-0.34,-0.32
video_1024,-0.86,0.71,-0.08
video_1025,-0.85,0.68,-0.03
video_1026,-0.23,-0.49,-0.29
video_1027,0.22,-0.73,-0.25
video_1028,-0.72,0.27,-0.22
video_1029,-0.01,-0.74,-0.32
video_1030,-0.23,-0.65,-0.19
video_1031,-0.07,-0.63,-0.28
video_1032,-0.56,-0.2,-0.26
video_1033,-0.53,-0.18,-0.28
video_1034,-0.18,-0.51,-0.27
video_1035,-0.28,-0.45,-0.32
video_1036,0.19,-0.78,-0.31
video_1037,-0.02,-0.32,-0.38
video_1038,-0.6,-0.35,-0.08
video_1039,0.19,-0.64,-0.41
video_1040,-0.53,-0.47,-0.26
video_1041,-0.0,-0.7,-0.25
video_1042,0.01,-0.6,-0.36
video_1043,-0.01,-0.52,-0.39
video_1044,-0.3,-0.25,-0.18
video_1045,0.14,-0.7,-0.35
video_1046,-0.23,0.18,0.2
video_1047,0.22,-0.73,-0.34
video_1048,-0.02,-0.73,-0.21
video_1049,0.06,-0.4,-0.42
video_1050,-0.58,-0.36,-0.21
video_1051,-0.12,-0.63,-0.2
video_1052,-0.53,-0.12,-0.37
video_1053,-0.37,-0.36,-0.25
video_1054,-0.13,-0.36,-0.35
video_1055,-0.37,-0.59,-0.18
video_1056,-0.7,-0.3,-0.14
video_1057,-0.58,-0.2,-0.15
video_1058,-0.22,-0.45,-0.37
video_1059,-0.54,-0.22,-0.3
video_1060,-0.37,-0.68,-0.02
video_1061,-0.02,-0.59,-0.31
video_1062,-0.33,-0.32,-0.36
video_1063,0.08,-0.69,-0.23
video_1064,-0.61,-0.24,-0.23
video_1065,-0.42,-0.52,-0.29
video_1066,-0.12,-0.62,-0.34
video_1067,-0.48,0.21,-0.36
video_1068,-0.57,-0.39,-0.11
video_1069,-0.32,-0.43,-0.44
video_1070,-0.63,-0.21,-0.11
video_1071,-0.43,-0.36,-0.28
video_1072,-0.56,-0.33,-0.24
video_1073,-0.54,-0.31,-0.27
video_1074,-0.11,-0.57,-0.31
video_1075,0.05,-0.7,-0.29
video_1076,0.48,-0.83,-0.35
video_1077,0.17,-0.74,-0.3
video_1078,-0.52,0.03,-0.35
video_1079,0.07,-0.77,-0.29
video_1080,-0.27,-0.54,-0.29
video_1081,0.18,-0.77,-0.37
video_1082,-0.7,0.02,-0.14
video_1083,-0.24,-0.41,-0.39
video_1084,-0.13,-0.55,-0.3
video_1085,-0.39,-0.45,-0.28
video_1086,-0.54,-0.04,-0.26
video_1087,0.15,-0.71,-0.32
video_1088,-0.11,-0.54,-0.35
video_1089,0.27,-0.75,-0.33
video_1090,0.26,-0.8,-0.3
video_1091,-0.1,-0.69,-0.31
video_1092,0.11,-0.72,-0.28
video_1093,-0.09,-0.53,-0.37
video_1094,0.03,-0.85,-0.16
video_1095,0.11,-0.66,-0.34
video_1096,-0.3,-0.54,-0.21
video_1097,0.22,-0.77,-0.29
video_1098,0.15,-0.62,-0.42
video_1099,0.49,-0.76,-0.32
video_1100,-0.56,-0.14,-0.25
video_1101,0.19,-0.68,-0.34
video_1102,-0.48,-0.15,-0.35
video_1103,-0.25,-0.47,-0.34
video_1104,-0.08,-0.64,-0.31
video_1105,0.3,-0.89,-0.22
video_1106,-0.33,-0.21,-0.31
video_1107,-0.06,-0.57,-0.45
video_1108,0.14,-0.84,-0.27
video_1109,0.5,-0.85,-0.26
video_1110,0.43,-0.73,-0.32
video_1111,0.29,-0.71,-0.25
video_1112,-0.93,0.45,-0.07
video_1113,-0.85,0.53,-0.06
video_1114,-0.61,-0.04,-0.23
video_1115,-0.55,-0.4,-0.23
video_1116,-0.1,-0.54,-0.37
video_1117,-0.3,-0.47,-0.28
video_1118,0.32,-0.77,-0.34
video_1119,0.41,-0.75,-0.35
video_1120,0.45,-0.76,-0.35
video_1121,-0.57,-0.35,-0.25
video_1122,0.21,-0.63,-0.41
video_1123,-0.13,-0.01,-0.44
video_1124,-0.34,-0.31,-0.28
video_1125,-0.48,-0.17,-0.3
video_1126,-0.47,-0.39,-0.25
video_1127,-0.48,-0.47,-0.2
video_1128,-0.52,-0.08,-0.37
video_1129,0.19,-0.74,-0.27
video_1130,0.12,-0.67,-0.39
video_1131,0.21,-0.72,-0.27
video_1132,0.19,-0.76,-0.28
video_1133,-0.23,-0.41,-0.42
video_1134,-0.95,0.42,0.02
video_1135,0.19,-0.74,-0.37
video_1136,0.02,-0.64,-0.26
video_1137,-0.07,-0.75,-0.18
video_1138,-0.45,-0.35,-0.32
video_1139,-0.34,-0.24,-0.36
video_1140,-0.54,-0.22,-0.19
video_1141,0.45,-0.79,-0.36
video_1142,-0.53,-0.34,-0.3
video_1143,0.48,-0.78,-0.37
video_1144,-0.58,-0.04,-0.25
video_1145,-0.13,-0.72,0.0
video_1146,-0.37,-0.63,-0.23
video_1147,-0.5,-0.34,-0.3
video_1148,-0.38,-0.38,-0.25
video_1149,-0.22,-0.44,-0.34
video_1150,-0.12,-0.7,-0.3
video_1151,0.54,-0.85,-0.29
video_1152,-0.35,-0.41,-0.33
video_1153,-0.3,-0.54,-0.38
video_1154,-0.12,-0.57,-0.4
video_1155,-0.45,-0.5,-0.25
video_1156,0.32,-0.87,-0.21
video_1157,-0.26,-0.49,-0.39
video_1158,-0.06,-0.58,-0.32
video_1159,-0.44,-0.34,-0.24
video_1160,-0.28,-0.4,-0.29
video_1161,-0.4,-0.31,-0.23
video_1162,0.29,-0.73,-0.32
video_1163,-0.19,-0.49,-0.37
video_1164,-0.3,-0.33,-0.41
video_1165,-0.4,-0.28,-0.39
video_1166,-0.82,0.59,0.03
video_1167,-0.67,0.09,-0.24
video_1168,-0.52,-0.18,-0.29
video_1169,0.76,-0.57,-0.48
video_1170,-0.27,-0.27,-0.39
video_1171,-0.64,-0.31,-0.19
video_1172,-0.25,-0.19,-0.39
video_1173,-0.25,-0.61,-0.27
video_1174,-0.2,-0.32,-0.37
video_1175,-0.77,0.76,-0.04
video_1176,0.33,-0.69,-0.4
video_1177,-0.0,-0.53,-0.38
video_1178,-0.54,-0.35,-0.36
video_1179,0.93,-0.64,-0.22
video_1180,0.36,-0.71,-0.35
video_1181,-0.84,0.52,-0.11
video_1182,0.17,-0.61,-0.33
video_1183,-0.78,0.61,-0.07
video_1184,-0.74,0.16,-0.31
video_1185,-0.91,0.47,-0.12
video_1186,0.05,-0.59,-0.33
video_1187,0.5,-0.54,-0.48
video_1188,-0.44,-0.12,-0.43
video_1189,-0.48,-0.53,-0.18
video_1190,-0.13,-0.59,-0.37
video_1191,0.31,-0.86,-0.3
video_1192,-0.01,-0.47,-0.51
video_1193,0.84,-0.76,-0.25
video_1194,0.03,-0.65,-0.39
video_1195,0.15,-0.62,-0.44
video_1196,-0.44,-0.61,-0.14
video_1197,-0.36,-0.45,-0.14
video_1198,-0.06,-0.74,-0.27
video_1199,0.04,-0.39,-0.57
video_1200,-0.35,-0.43,-0.34
video_1201,0.3,-0.8,-0.36
video_1202,0.33,-0.71,-0.38
video_1203,0.82,-0.54,-0.42
video_1204,-0.08,-0.71,-0.3
video_1205,-0.75,-0.27,-0.17
video_1206,-0.14,-0.45,-0.38
video_1207,-0.37,-0.36,-0.34
video_1208,-0.9,0.12,0.06
video_1209,-0.01,-0.66,-0.27
video_1210,-0.34,-0.5,-0.12
video_1211,-0.7,0.01,-0.27
video_1212,0.57,-0.83,-0.15
video_1213,-0.34,-0.33,-0.46
video_1214,-0.67,-0.22,-0.3
video_1215,-0.89,0.12,0.08
video_1216,-0.77,0.15,-0.28
video_1217,-0.51,-0.26,-0.29
video_1218,-0.38,-0.32,-0.22
video_1219,-0.2,-0.47,-0.36
video_1220,-0.91,-0.05,-0.05
video_1221,-0.42,-0.45,-0.34
video_1222,0.26,-0.7,-0.43
video_1223,-0.58,-0.18,-0.3
video_1224,-0.19,-0.52,-0.36
video_1225,0.2,-0.48,-0.45
video_1226,-0.76,0.46,-0.23
video_1227,-0.34,-0.56,-0.31
video_1228,-0.4,-0.43,-0.27
video_1229,-0.02,-0.4,-0.44
video_1230,-0.28,-0.48,-0.45
video_1231,0.05,-0.55,-0.32
video_1232,-0.69,0.41,-0.29
video_1233,0.16,-0.6,-0.36
video_1234,-0.53,-0.45,-0.17
video_1235,0.55,-0.76,-0.39
video_1236,-0.1,-0.59,-0.27
video_1237,-0.24,-0.46,-0.41
video_1238,-0.34,-0.47,-0.43
video_1239,0.63,-0.7,-0.38
video_1240,-0.15,-0.3,-0.45
video_1241,-0.56,0.42,-0.29
video_1242,0.58,-0.8,-0.3
video_1243,-0.74,0.68,-0.19
video_1244,0.41,-0.83,-0.27
video_1245,0.21,-0.61,-0.38
video_1246,-0.09,-0.5,-0.32
video_1247,-0.83,0.55,-0.22
video_1248,-0.69,0.05,-0.31
video_1249,-0.31,-0.31,-0.32
video_1250,-0.92,0.31,-0.19
video_1251,0.13,-0.77,-0.28
video_1252,0.67,-0.52,-0.34
video_1253,-0.82,0.56,-0.05
video_1254,0.6,-0.72,-0.45
video_1255,0.21,-0.69,-0.29
video_1256,0.03,-0.69,-0.38
video_1257,0.16,-0.75,-0.34
video_1258,0.69,-0.86,-0.2
video_1259,-0.64,0.4,-0.2
video_1260,-0.53,-0.13,-0.39
video_1261,-0.21,-0.24,-0.55
video_1262,-0.61,0.3,-0.37
video_1263,0.35,-0.65,-0.35
video_1264,0.78,-0.76,-0.3
video_1265,-0.22,-0.41,-0.29
video_1266,-0.23,0.02,-0.54
video_1267,-0.39,-0.37,-0.31
video_1268,-0.57,0.17,-0.42
video_1269,-0.15,-0.5,-0.38
video_1270,-0.17,-0.53,-0.32
video_1271,-0.9,0.58,-0.06
video_1272,0.69,-0.84,-0.26
video_1273,0.27,-0.62,-0.33
video_1274,-0.21,-0.17,-0.46
video_1275,0.04,-0.65,-0.33
video_1276,-0.3,-0.46,-0.25
video_1277,0.17,-0.6,-0.31
video_1278,0.26,-0.52,-0.5
video_1279,-0.61,0.1,-0.17
video_1280,0.23,-0.57,-0.43
video_1281,-0.39,-0.15,-0.34
video_1282,-0.16,-0.55,-0.28
video_1283,-0.12,-0.52,-0.38
video_1284,-0.51,0.01,-0.23
video_1285,0.15,-0.47,-0.38
video_1286,-0.52,0.07,-0.35
video_1287,0.12,-0.41,-0.38
video_1288,0.35,-0.71,-0.35
video_1289,-0.06,0.13,-0.42
video_1290,-0.75,0.49,-0.21
video_1291,-0.61,0.1,-0.35
video_1292,0.36,-0.5,-0.47
video_1293,-0.05,-0.33,-0.48
video_1294,-0.93,0.54,-0.09
video_1295,-0.17,-0.37,-0.44
video_1296,-0.09,-0.4,-0.41
video_1297,-0.61,-0.1,-0.27
video_1298,-0.64,0.01,-0.28
video_1299,-0.84,0.6,-0.19
video_1300,-0.18,-0.17,-0.49
video_1301,-0.83,0.22,-0.13
video_1302,-0.33,-0.45,-0.27
video_1303,0.31,-0.69,-0.41
video_1304,-0.6,-0.09,-0.21
video_1305,0.05,-0.58,-0.26
video_1306,-0.52,-0.01,-0.39
video_1307,-0.21,-0.18,-0.54
video_1308,-0.71,0.43,-0.29
video_1309,-0.12,-0.43,-0.41
video_1310,0.31,-0.52,-0.49
video_1311,0.21,-0.22,-0.46
video_1312,-0.89,0.46,-0.02
video_1313,0.09,-0.58,-0.48
video_1314,0.31,-0.58,-0.44
video_1315,-0.73,0.39,-0.17
video_1316,-0.06,-0.12,-0.49
video_1317,0.18,-0.61,-0.37
video_1318,-0.63,0.05,-0.25
video_1319,-0.24,-0.32,-0.41
video_1320,0.4,-0.68,-0.46
video_1321,0.08,-0.58,-0.45
video_1322,-0.78,0.2,-0.18
video_1323,0.25,-0.47,-0.48
video_1324,-0.76,0.29,-0.28
video_1325,-0.23,-0.06,-0.45
video_1326,-0.57,-0.11,-0.35
video_1327,-0.22,-0.4,-0.42
video_1328,-0.5,0.22,-0.33
video_1329,-0.9,0.29,-0.07
video_1330,0.37,-0.68,-0.49
video_1331,0.02,-0.55,-0.4
video_1332,-0.38,0.09,-0.5
video_1333,-0.13,-0.48,-0.36
video_1334,-0.38,-0.5,-0.2
video_1335,0.57,-0.83,-0.23
video_1336,0.29,-0.62,-0.53
video_1337,-0.2,-0.55,-0.36
video_1338,-0.76,-0.14,0.01
video_1339,-0.66,-0.5,-0.01
video_1340,-0.76,0.19,-0.24
video_1341,-0.07,-0.65,-0.35
video_1342,-0.02,-0.8,-0.22
video_1343,0.05,-0.58,-0.38
video_1344,0.18,-0.72,-0.23
video_1345,-0.08,-0.61,-0.34
video_1346,-0.16,-0.41,-0.37
video_1347,0.04,-0.7,-0.21
video_1348,-0.26,-0.44,-0.12
video_1349,-0.73,-0.21,-0.08
video_1350,0.3,-0.64,-0.38
video_1351,-0.13,-0.41,-0.28
video_1352,0.44,-0.72,-0.41
video_1353,-0.11,-0.57,-0.38
video_1354,-0.07,-0.64,-0.34
video_1355,-0.59,-0.32,-0.24
video_1356,0.16,-0.72,-0.31
video_1357,0.56,-0.82,-0.2
video_1358,0.29,-0.71,-0.36
video_1359,-0.61,-0.33,-0.24
video_1360,0.16,-0.46,-0.22
video_1361,0.58,-0.82,-0.25
video_1362,-0.05,-0.66,-0.35
video_1363,0.0,-0.67,-0.37
video_1364,0.28,-0.68,-0.43
video_1365,-0.03,-0.49,-0.36
video_1366,-0.63,0.02,-0.18
video_1367,0.65,-0.88,-0.17
video_1368,0.23,-0.7,-0.35
video_1369,0.54,-0.81,-0.22
video_1370,-0.1,-0.54,-0.41
video_1371,-0.35,-0.2,-0.35
video_1372,0.6,-0.85,-0.25
video_1373,0.05,-0.56,-0.37
video_1374,0.18,-0.25,-0.54
video_1375,0.17,-0.59,-0.41
video_1376,0.22,-0.65,-0.38
video_1377,0.37,-0.63,-0.46
video_1378,0.01,-0.54,-0.45
video_1379,0.34,-0.61,-0.45
video_1380,-0.89,0.71,-0.02
video_1381,0.32,-0.59,-0.45
video_1382,0.55,-0.84,-0.26
video_1383,-0.02,-0.61,-0.34
video_1384,0.47,-0.84,-0.1
video_1385,0.06,-0.67,-0.28
video_1386,-0.78,-0.11,-0.26
video_1387,0.19,-0.57,-0.43
video_1388,-0.61,-0.39,-0.12
video_1389,0.28,-0.8,-0.33
video_1390,-0.74,0.62,0.03
video_1391,0.01,-0.52,-0.36
video_1392,-0.25,-0.52,-0.27
video_1393,0.28,-0.7,-0.3
video_1394,-0.04,-0.58,-0.38
video_1395,-0.77,0.46,-0.22
video_1396,-0.09,-0.51,-0.31
